nome;cnpj
FERRO E ACO TAKONO LTDA FILIAL 24-80;17.431.354/0024-80
FERRO E ACO TAKONO LTDA FILIAL 23-07;17.431.354/0023-07
FERRO E ACO TAKONO LTDA FILIAL 22-18;17.431.354/0022-18
FERRO E ACO TAKONO LTDA FILIAL 21-37;17.431.354/0021-37
FERRO E ACO TAKONO LTDA FILIAL 20-56;17.431.354/0020-56
FERRO E ACO TAKONO LTDA FILIAL 19-12;17.431.354/0019-12
FERRO E ACO TAKONO LTDA FILIAL 18-31;17.431.354/0018-31
FERRO E ACO TAKONO LTDA FILIAL 16-70;17.431.354/0016-70
FERRO E ACO TAKONO LTDA FILIAL 15-99;17.431.354/0015-99
FERRO E ACO TAKONO LTDA FILIAL 14-08;17.431.354/0014-08
FERRO E ACO TAKONO LTDA FILIAL 13-27;17.431.354/0013-27
FERRO E ACO TAKONO LTDA FILIAL 12-46;17.431.354/0012-46
FERRO E ACO TAKONO LTDA FILIAL 11-65;17.431.354/0011-65
FERRO E ACO TAKONO LTDA FILIAL 10-84;17.431.354/0010-84
FERRO E ACO TAKONO LTDA FILIAL 08-60;17.431.354/0008-60
FERRO E ACO TAKONO LTDA FILIAL 07-89;17.431.354/0007-89
FERRO E ACO TAKONO LTDA FILIAL 06-06;17.431.354/0006-06
FERRO E ACO TAKONO LTDA;17.431.354/0001-93
FERREIRA ADMINISTRACAO LTDA;52.537.872/0001-97
FEAG - FERRAGENS AGMAR PARA FACHADA EIRELI;17.266.263/0001-40
FCK TRANSPORTES LTDA;55.229.790/0001-73
FCK PREMOLDADOS LTDA.;29.315.419/0001-14
FCK PREMOLDADOS LTDA FILIAL 03;29.315.419/0003-86
FCK PREMOLDADOS LTDA FILIAL 02;29.315.419/0002-03
FCF CONSULTORIA LTDA;08.605.616/0001-06
FATIMA ADMINISTRACAO LTDA;52.537.865/0001-95
FASTPLOT SERVICOS DE ESTETICA AUTOMOTIVA LTDA;30.844.095/0001-90
FAST TEAM SERVICOS DE ESTETICA AUTOMOTIVA LTDA;38.614.719/0001-95
EXPRESSO FERRENSE LTDA;41.188.596/0001-82
EVOLUTION CONSULTORIA E GESTAO EMPRESARIAL S/A;08.181.655/0001-15
EVERYBODY - CENTRO DE PERFORMANCE E FISIOTERAPIA LTDA;54.745.262/0001-04
EVELINE DE PAULA BARTELS;027.582.756/001-58
ESTIVA PARTICIPACOES LTDA;03.050.280/0001-30
ESTACIONAMENTO AGMAR LTDA FILIAL 04-60;28.280.249/0004-60
ESTACIONAMENTO AGMAR LTDA FILIAL 03-89;28.280.249/0003-89
ESTACIONAMENTO AGMAR LTDA FILIAL 02-06;28.280.249/0002-06
ESTACIONAMENTO AGMAR LTDA;28.280.249/0001-17
ESMIG INDUSTRIA DE ESCADAS LTDA FILIAL 03-89;04.757.157/0003-89
ESMIG INDUSTRIA DE ESCADAS LTDA;04.757.157/0001-17
ENGEBRAS CONSTRUTORA LTDA;16.793.572/0001-05
ENERGY TRANSPORTES LTDA;11.427.167/0001-50
EMPIRE DJB PATRIMONIAL LTDA;50.670.646/0001-54
EMP - AVALIACAO EM RECURSOS HUMANOS LTDA;65.167.553/0001-89
EMIS MINAS DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA;18.465.245/0001-50
EMAG CONSTRUTORA LTDA;46.170.489/0001-40
EMAG CONSTRUTORA LTDA;46.170.489/0002-21
ELETROFERRAGENS RM EIRELI;02.044.305/0001-20
EDIFICIO REDE OFFICE I;37.264.826/0001-78
EAT FRUTZ ALIMENTOS LTDA;60.007.708/0001-04
EAGLE ADMINISTRACAO LTDA;31.164.829/0001-53
E.D. TECNOLOGIA DIGITAL BH LTDA;47.656.789/0001-05
DVS PARTICIPACOES LTDA;31.626.083/0001-52
DOBRAFLEX CORTE E DOBRA DE METAIS LTDA;53.592.748/0001-97
DJB PARTICIPACOES LTDA;30.868.461/0001-41
DISTRIBUIDORA BIOCLIN DIAGNOSTICA LTDA;40.138.609/0001-46
DH ORIGINAL IMPORTACAO E EXPORTACAO LTDA;36.608.341/0001-91
DELMA - COMERCIO DE COMBUSTIVEIS LTDA;19.568.294/0001-80
DEL PAPEIS LTDA FILIAL 03-84;05.044.834/0003-84
DEL PAPEIS LTDA;05.044.834/0001-12
DEBURR COMERCIO DE COSMETICOS LTDA;44.171.333/0001-59
D.L.A. SERVICOS ADMINISTRATIVOS LTDA;17.777.033/0001-45
CVQ II SPE LTDA;54.666.468/0001-49
CVQ I SPE LTDA;54.666.579/0001-55
CSV GESTAO PATRIMONIAL LTDA;14.049.851/0001-33
CRISTAL VALLE INDUSTRIA E COMERCIO DE VIDROS LTDA;44.888.549/0001-30
CRISTAL VALLE ADMINISTRACAO LTDA;44.867.415/0001-32
CORRETORA DE SEGUROS BELO HORIZONTE LTDA;17.169.517/0001-01
CONVENIENCIA DOIS IRMAOS LTDA;22.371.891/0002-06
CONVENIENCIA DOIS IRMAOS - EIRELI;22.371.891/0001-25
CONTABILIDADE LTDA;25.701.707/0001-56
CONSTRUTORA E INCORPORADORA SPLIT LTDA;36.358.498/0001-06
CONSTRUTORA AGMAR LTDA FILIAL 02-10;18.778.225/0002-10
CONSTRUTORA AGMAR LTDA;18.778.225/0007-24
CONSTRUTORA AGMAR LTDA;18.778.225/0001-39
CONSTANTINO MATIAS NOGUEIRA - PATRIMONIAL LTDA;58.479.273/0001-40
CONSTANTINO MATIAS NOGUEIRA - IMOVEIS;05.488.521/0001-53
CONSORCIO GERASUN SOLAR;48.914.950/0001-58
CONSORCIO ENGEBRAS ILCON SES 0620240094;58.391.436/0001-39
COMERCIO LANCHE KARRAO LTDA;17.070.962/0001-10
COMERCIAL OLIVEIRA & BRANT LTDA;03.086.069/0001-78
COMERCIAL OLIVEIRA & BRANT LTDA;03.086.069/0002-59
COMERCIAL GIULIANO LIMITADA;02.170.578/0001-11
COMERCIAL FOCCUS LTDA;05.290.880/0001-00
COMERCIAL AVIAMENTOS LTDA;09.255.124/0001-92
COLISEU SERVICOS ADMINISTRATIVOS LTDA;59.719.624/0001-06
COELHO E PEREIRA EIRELI;14.778.620/0001-60
COELHO CONVENIENCIA LTDA;52.868.133/0001-88
CLINICA UNIAO SERVICOS MEDICOS LTDA;10.659.228/0001-41
CLINICA RADIOLOGICA ELDORADO LTDA;26.058.198/0001-58
CLINICA LEV SAVASSI LTDA;18.304.350/0001-07
CLAM PARTICIPACOES E INVESTIMENTOS S/A;46.470.553/0001-09
CLAM MONITORAMENTO AMBIENTAL LTDA;36.515.309/0002-42
CLAM MONITORAMENTO AMBIENTAL LTDA;36.515.309/0001-61
CLAM MEIO AMBIENTE LTDA FILIAL 02-49;08.803.534/0002-49
CLAM MEIO AMBIENTE LTDA;08.803.534/0003-20
CLAM MEIO AMBIENTE LTDA;08.803.534/0001-68
CLAM ESG LTDA;35.265.541/0001-26
CLAM ENGENHARIA LTDA FILIAL 03-00;01.955.846/0003-00
CLAM ENGENHARIA LTDA;01.955.846/0001-48
CLAM CONSULTORIA LTDA;17.047.651/0001-30
CIAZA CONSTRUTORA LTDA;39.974.038/0001-09
CIA ITABIRITO INDUSTRIAL FIACAO E TECELAGEM DE ALGODAO;21.000.344/0001-70
CHEQUER & COELHO LTDA;25.363.219/0001-86
CHEL LTDA;46.510.618/0001-00
CHAVE DE OURO EMPREENDIMENTOS IMOBILIARIOS EIRELI;26.378.150/0001-27
CGELC LTDA;60.894.544/0001-76
CGA SERVICOS MEDICOS LTDA;56.336.060/0001-34
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 20-20;19.691.641/0020-20
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 19-97;19.691.641/0019-97
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 17-25;19.691.641/0017-25
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 14-82;19.691.641/0014-82
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 11-30;19.691.641/0011-30
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 10-59;19.691.641/0010-59
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 09-15;19.691.641/0009-15
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 07-53;19.691.641/0007-53
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 05-91;19.691.641/0005-91
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 04-00;19.691.641/0004-00
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA FILIAL 02-49;19.691.641/0002-49
CENTRO DE DIAGNOSTICO POR IMAGEM LTDA;19.691.641/0001-68
CENTER POSTO LTDA FILIAL 02-12;02.470.627/0002-12
CENTER POSTO LTDA;02.470.627/0001-31
CELT -COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA;01.830.179/0001-77
CDVM LTDA;48.436.363/0001-09
CDI NUCLEAR LTDA;27.076.713/0001-95
CCA COMERCIAL DE COMBUSTIVEIS AUTOMOTIVOS LTDA;64.438.708/0001-01
CATIRA INTERMEDIACOES DE NEGOCIOS LTDA;37.136.864/0001-45
CASCALHO PARTICIPACOES LTDA;59.711.801/0001-08
CASA SEMPRE VIVA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;09.184.215/0001-84
CASA NOVA SPE LTDA;13.857.944/0001-21
CAPITAO COMERCIO DE COMBUSTIVEIS LTDA;31.134.945/0001-20
CAMPO ALEGRE PARTICIPACOES LTDA;20.497.856/0001-21
CAD COMERCIAL DE MAQUINAS LTDA;08.462.542/0001-98
BV DISTRIBUIDORA LTDA;25.330.456/0001-40
BURITIS CONVENIENCIA LTDA;41.931.686/0001-11
BROMELIAS GESTAO PATRIMONIAL LTDA;20.359.011/0001-70
BRM COMERCIO DE VEICULOS LTDA;10.221.140/0001-43
BRB TRANSPORTES LTDA;50.670.222/0001-90
BRAZIL MANIA LTDA;47.805.931/0001-20
BRASIL CONCRETO LTDA;14.112.026/0001-36
BRANT EMPREENDIMENTOS LTDA;38.699.567/0001-70
BOSQUE DE IBIRITE LTDA;60.843.892/0001-14
BORA EMBALAGENS LTDA;04.569.102/0001-83
BOA VISTA BOCAIUVA HOTEL LTDA;24.031.098/0001-02
BOA VISTA ASSESSORIA LTDA;00.908.540/0001-78
BMGL PARTICIPACOES E EMPREENDIMENTOS IMOBILIARIOS LTDA;28.856.443/0001-06
BMC EDITORA LTDA;07.992.669/0001-56
BLUE SKY PARTICIPACOES LTDA;15.798.669/0001-48
BIOCLINTECH MANUTENCAO LTDA;58.113.070/0001-36
BIOCLINTECH LTDA;39.713.248/0001-35
BIOCLINTECH CIENTIFICA LTDA;51.569.864/0001-60
BEMX - PARTICIPACOES E EMPREENDIMENTOS LTDA;10.755.850/0001-53
BELTMORE PARTICIPACOES LTDA;23.760.760/0001-00
BEL LUBRIFICANTES ESPECIAIS LTDA;46.561.918/0001-00
BEL DISTRIBUIDOR DE LUBRIFICANTES LTDA FILIAL 02-79;07.580.204/0002-79
BEL DISTRIBUIDOR DE LUBRIFICANTES LTDA FILIAL 0005-11;07.580.204/0005-11
BEL DISTRIBUIDOR DE LUBRIFICANTES LTDA;07.580.204/0001-98
BARTELS DERMATOLOGIA ESTETICA E LASER LTDA;35.237.109/0001-21
BARAO VPP CONVENIENCIAS LTDA;30.305.739/0001-72
AZEVEDO & CIA;08.144.785/0001-88
AXP GESTAO PATRIMONIAL LTDA;30.887.742/0001-41
AXJ PARTICIPACOES EIRELI;11.438.894/0001-12
AUTOREDE PARTICIPACOES LTDA;16.928.898/0001-00
AUTOREDE LOCADORA DE VEICULOS LTDA;17.626.638/0001-35
AUTO POSTO VERONA LTDA;00.911.111/0001-50
AUTO POSTO SOLAR DO TREVO LTDA;18.457.434/0001-80
AUTO POSTO PORTAL DO NORTE LTDA;12.383.729/0001-73
AUTO POSTO MARIO CAMPOS COMERCIO DE COMBUSTIVEIS LTDA;42.509.693/0001-92
AUTO POSTO MAQUINE LTDA;42.866.251/0001-01
AUTO POSTO JK EXPRESS LTDA;45.548.004/0001-47
AUTO POSTO DOM BOSCO LTDA;00.982.905/0001-04
AUTO POSTO DAS LAJES LTDA;03.543.109/0001-63
AUTO POSTO CENTENARIO LTDA;35.523.371/0001-32
AUTO POSTO ALELUIA LTDA FILIAL 02-46;03.733.648/0002-46
AUTO POSTO ALELUIA LTDA;03.733.648/0001-65
AUMAR PRESTACAO DE SERVICOS ADMINISTRATIVOS LTDA;08.916.536/0001-63
ARTMIX HOLDING LTDA;03.328.383/0001-10
ARNDT, TRAVASSOS E MORRISON SPE LTDA;50.745.643/0001-32
ARNDT REFORMAS E MANUTENCOES LTDA;40.138.139/0001-10
ARNDT PATRIMONIAL LTDA;40.138.140/0001-45
ARGON ENGENHARIA LTDA;30.131.491/0001-70
ARCI PATRIMONIAL LTDA;39.781.850/0001-00
ARCI PARTICIPACOES LTDA;39.329.294/0001-35
APMG PARTICIPACOES S/A;05.498.286/0001-09
APL ADMINISTRACAO E PARTICIPACOES LTDA;24.346.183/0001-60
ANITA CHEQUER PATRIMONIAL LTDA;47.131.991/0001-05
ANITA CHEQUER PARTICIPACOES LTDA;42.868.214/0001-24
ANF EMPREENDIMENTOS E PARTICIPACOES LTDA;07.015.759/0001-97
AMX GESTÃO PATRIMONIAL LTDA;10.566.236/0001-43
AMPLUS PARTICIPACOES SA;21.340.017/0001-68
AMMC PARTICIPACOES LTDA;48.530.421/0001-50
AML HOLDING S/A;17.243.217/0001-25
AMH COMERCIO E SERVICOS LTDA;55.502.351/0001-92
ALVES E SANTOS PARTICIPACOES LTDA.;21.284.331/0001-70
AGUIA V COMERCIO DE COMBUSTIVEIS LTDA;39.609.220/0001-52
AGUIA IX COMERCIO DE COMBUSTIVEIS LTDA;40.373.016/0001-64
AGUIA IV COMERCIO DE COMBUSTIVEIS LTDA;07.946.419/0001-80
AGUIA 8 COMERCIO DE COMBUSTIVEIS LTDA;40.059.663/0001-04
AGT01 MORADA NOVA DE MINAS SPE LTDA FILIAL 02-52;51.006.691/0002-52
AGT01 MORADA NOVA DE MINAS SPE LTDA;51.006.691/0001-71
AGROPECUARIA BONANZA LTDA;29.295.126/0001-12
AGP05 ARGON EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;54.879.613/0001-70
AGP03 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA SCP RESIDENCIAL CAPARAO;54.269.862/0001-43
AGP03 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA FILIAL 02-82;50.446.827/0002-82
AGP03 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;50.446.827/0001-00
AGM ESQUADRIAS LTDA;56.052.524/0001-80
AESA PARTICIPAÇÕES LTDA;12.397.940/0001-45
ADR MOBILIDADE E SERVICOS LTDA;57.108.289/0001-84
ADCAR SERVICO DE ESCRITORIO E APOIO ADMINISTRATIVO LTDA;43.149.261/0001-80
ACR GESTAO PATRIMONIAL LTDA;44.403.647/0001-30
ACOS SERVICOS DE PROMOCAO LTDA;31.859.834/0001-80
ABEL SEMINOVOS LTDA;45.320.266/0001-50
ABEL CONSTRUTORA LTDA;08.488.463/0001-56
A.R. PARTICIPACOES LTDA;27.291.315/0001-91
A.M CHEQUER IMOVEIS LTDA;49.247.110/0001-41
A REDE GESTAO PATRIMONIAL LTDA;10.309.735/0001-55
2B COMBUSTIVEL LTDA;40.994.024/0001-28
Empresas listadas: 614;
